2023-11-01T07:24:16+00:00 CRITICAL syntax error, unexpected '$attributes' (T_VARIABLE), expecting '(' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 28

2023-11-01T07:24:32+00:00 CRITICAL syntax error, unexpected '$attributes' (T_VARIABLE), expecting '(' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 28

2023-11-01T07:24:38+00:00 CRITICAL syntax error, unexpected '$attributes' (T_VARIABLE), expecting '(' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 28

2023-11-01T07:24:55+00:00 CRITICAL syntax error, unexpected '$attributes' (T_VARIABLE), expecting '(' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 44

2023-11-01T07:29:14+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 23

2023-11-01T07:29:15+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 23

2023-11-01T07:29:18+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 23

2023-11-01T07:29:20+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 23

2023-11-01T07:29:22+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 23

2023-11-01T07:29:22+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 23

2023-11-01T07:29:25+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 23

2023-11-01T07:30:02+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 23

2023-11-01T07:30:03+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 23

2023-11-01T07:30:03+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 23

2023-11-01T07:30:07+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\lth\lth-cv\wp-content\themes\lth-theme-child\inc\blocks\controls\lazyblock-brand\frontend.php on line 23

